NuSTAR OBSID, Gal. Lon. [deg], Gal. Lat [deg], Avg. Exposure [s], Target
60101078002,187.46,-20.72,18832.8,PKS_0446p11
60101080002,229.05,-36.99,19228.6,PKS_0451m28
60101082002,310.62,63.58,25869.1,J130500d31p005422d1
60101083002,347.92,51.85,40979.1,J143459d27m014432d8
60101084002,273.46,58.68,40574.4,J115158d63m004641d2
60101101002,251.47,-51.40,54187.2,NGC_1448
60101110004,287.43,22.95,41195.1,NGC_3783
60102042002,20.77,27.30,20612.9,NGC_6240
60102042004,20.71,27.30,20747.5,NGC_6240
60102042006,20.75,27.28,20334.4,NGC_6240
60102044002,140.36,26.08,61684.3,Mkn_6
60102044004,140.30,26.11,42007.3,Mkn_6
60102051006,299.61,22.86,30239.7,NGC_4507
60102051008,299.61,22.85,29589.7,NGC_4507
60110001001,125.76,54.77,42578.4,GOODSN_MOS001
60110001003,125.82,54.77,54728.6,GOODSN_MOS001
60110001005,125.79,54.78,53768.7,GOODSN_MOS001
60110001007,125.79,54.78,48201.7,GOODSN_MOS001
60110002001,125.82,54.81,41921.3,GOODSN_MOS002
60110002003,125.88,54.80,61221.0,GOODSN_MOS002
60110002004,125.86,54.81,56813.2,GOODSN_MOS002
60110002005,125.86,54.81,48564.1,GOODSN_MOS002
60110003002,125.89,54.84,42025.9,GOODSN_MOS003
60110003003,125.95,54.84,58737.9,GOODSN_MOS003
60110003004,125.93,54.85,60086.6,GOODSN_MOS003
60110003005,125.93,54.85,49615.0,GOODSN_MOS003
60160002002,306.58,-39.84,33863.1,Fairall1203
60160061002,170.27,-78.18,21407.4,MCGm03m04m072
60160072002,287.20,-62.29,22073.4,2MASXJ01402676m5319389
60160087002,159.82,-57.72,21326.9,Mrk1018
60160095002,163.52,-56.97,20526.3,Mrk590
60160109002,179.72,-60.51,21393.7,Mrk1044
60160145002,293.46,-37.57,29535.0,HB89_0312m770
60160148002,179.85,-44.90,23813.9,MCGp00m09m042
60160169002,282.81,-40.81,20492.3,PKS0352m686
60160175002,228.70,-48.94,23813.7,SARS059d33488m30d34397
60160179002,237.71,-48.51,18372.2,PKS0402m362
60160197002,253.34,-41.91,19127.6,2MASXJ04372814m4711298
60160217002,285.58,-33.31,22107.7,2MASXJ05043414m7349269
60160234002,226.34,-28.90,20390.7,PMNJ0525m2338
60160236002,223.93,-27.76,21222.5,ESO553mG043
60160254002,257.96,-28.54,20511.8,PKS0558m504
60160255002,207.01,-11.20,19274.5,IRAS05581p0006
60160263002,274.28,-27.30,38398.8,2MASXJ06230765m6436211
60160272002,286.38,-27.14,14821.8,PKS0637m752
60160284002,257.37,-16.62,24924.1,2MASXJ07084326m4642494
60160285002,247.33,-12.23,17793.8,PKS0707m35
60160288002,171.89,22.81,23791.6,Mrk376
60160300002,133.56,28.88,21656.2,3C184d1
60160322002,138.30,31.00,16869.0,PG0804p761
60160341002,134.90,32.69,4746.9,NGC2655
60160341004,134.88,32.70,15526.8,NGC2655
60160346002,289.09,-17.85,16755.2,2MASXJ09034285m7414170
60160360002,298.14,-23.48,34765.8,2MASXJ09261742m8421330
60160374002,138.03,38.07,12713.4,VIIZw292
60160386002,145.07,43.81,18931.6,1RXSJ100712d6p653511
60160409002,208.23,62.11,21124.3,UGC05881
